entry	class	subclass	soundoverridesubclass	material	displayid	inventorytype	sheath	comment
"23715"	"0"	"0"	"-1"	"-1"	"18114"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23718"	"0"	"0"	"-1"	"-1"	"2638"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23719"	"0"	"0"	"-1"	"-1"	"16836"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23721"	"0"	"0"	"-1"	"-1"	"36475"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23722"	"0"	"0"	"-1"	"-1"	"20894"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23794"	"0"	"0"	"-1"	"3"	"24211"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23795"	"0"	"0"	"-1"	"3"	"17896"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23796"	"0"	"0"	"-1"	"3"	"24156"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23872"	"0"	"0"	"-1"	"8"	"2591"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"23982"	"0"	"0"	"-1"	"-1"	"36688"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"26046"	"0"	"0"	"-1"	"-1"	"19764"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"26047"	"0"	"0"	"-1"	"-1"	"37331"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"27504"	"0"	"0"	"-1"	"7"	"3331"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"28036"	"0"	"0"	"-1"	"-1"	"6399"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"29585"	"0"	"0"	"-1"	"-1"	"41193"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"29877"	"0"	"0"	"-1"	"4"	"39888"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"31954"	"0"	"0"	"-1"	"-1"	"13118"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"32424"	"0"	"0"	"-1"	"3"	"18102"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"32426"	"0"	"0"	"-1"	"3"	"7264"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"32669"	"0"	"0"	"-1"	"-1"	"45198"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"32913"	"0"	"0"	"-1"	"3"	"18115"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33090"	"0"	"0"	"-1"	"-1"	"21473"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33100"	"0"	"0"	"0"	"-1"	"46200"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33217"	"0"	"0"	"0"	"-1"	"3225"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33570"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33572"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33573"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33574"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33600"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33601"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33602"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33603"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33623"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33624"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33625"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33626"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33785"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33786"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33787"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33788"	"0"	"0"	"0"	"0"	"46712"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"33800"	"0"	"0"	"0"	"-1"	"46560"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34046"	"0"	"0"	"0"	"0"	"47291"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34047"	"0"	"0"	"0"	"0"	"47293"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34048"	"0"	"0"	"0"	"0"	"4933"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34071"	"0"	"0"	"0"	"-1"	"46266"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34151"	"0"	"0"	"0"	"0"	"47507"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34152"	"0"	"0"	"0"	"0"	"47508"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34153"	"0"	"0"	"0"	"0"	"47509"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34154"	"0"	"0"	"0"	"0"	"47510"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34155"	"0"	"0"	"0"	"0"	"47511"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34156"	"0"	"0"	"0"	"-1"	"47512"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34250"	"0"	"0"	"0"	"0"	"4233"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34251"	"0"	"0"	"0"	"0"	"24591"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"34252"	"0"	"0"	"0"	"0"	"47577"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"35120"	"0"	"0"	"0"	"0"	"50273"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"35667"	"0"	"0"	"0"	"-1"	"48953"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"38165"	"0"	"0"	"0"	"0"	"50493"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"38236"	"0"	"0"	"0"	"4"	"7008"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"38685"	"0"	"0"	"0"	"4"	"1093"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"38702"	"0"	"0"	"0"	"0"	"51426"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"38704"	"0"	"0"	"0"	"4"	"51446"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"39600"	"0"	"0"	"0"	"0"	"51822"	"20"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"40308"	"0"	"0"	"0"	"4"	"52293"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"42437"	"0"	"0"	"0"	"4"	"47763"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"42764"	"0"	"0"	"0"	"0"	"53619"	"21"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"44624"	"0"	"0"	"0"	"4"	"47763"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"44628"	"0"	"0"	"0"	"4"	"47763"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"44630"	"0"	"0"	"0"	"4"	"47763"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"44804"	"0"	"0"	"-1"	"4"	"39888"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"44805"	"0"	"0"	"-1"	"4"	"39888"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"44813"	"0"	"0"	"-1"	"-1"	"57551"	"26"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"44816"	"0"	"0"	"0"	"-1"	"47314"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"44867"	"0"	"0"	"0"	"4"	"8928"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"44964"	"0"	"0"	"0"	"4"	"57819"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"46717"	"0"	"0"	"-1"	"4"	"59878"	"23"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"48416"	"0"	"0"	"3"	"4"	"59906"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"49224"	"0"	"0"	"-1"	"4"	"61964"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"49225"	"0"	"0"	"-1"	"4"	"8623"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"49349"	"0"	"0"	"-1"	"4"	"62351"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"49372"	"0"	"0"	"-1"	"4"	"8623"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"49374"	"0"	"0"	"-1"	"4"	"57288"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"49692"	"0"	"0"	"-1"	"4"	"62991"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"50076"	"0"	"0"	"0"	"7"	"12547"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"50091"	"0"	"0"	"0"	"7"	"12547"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"50092"	"0"	"0"	"0"	"7"	"12547"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"50164"	"0"	"0"	"-1"	"4"	"64023"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"52361"	"0"	"0"	"-1"	"4"	"65526"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"53476"	"0"	"0"	"-1"	"7"	"66218"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"53477"	"0"	"0"	"-1"	"7"	"66228"	"0"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"54647"	"0"	"0"	"-1"	"7"	"66184"	"16"	"0"	"Consumable, Usability in combat is decided by the spell assigned"
"2461"	"0"	"1"	"-1"	"3"	"2357"	"0"	"0"	"Potion"
"2462"	"0"	"1"	"-1"	"3"	"1805"	"0"	"0"	"Potion"
"23696"	"0"	"1"	"-1"	"0"	"15788"	"0"	"0"	"Potion"
"23698"	"0"	"1"	"-1"	"0"	"24211"	"0"	"0"	"Potion"
"30793"	"0"	"1"	"-1"	"-1"	"3664"	"0"	"0"	"Potion"
"34646"	"0"	"1"	"0"	"-1"	"48901"	"0"	"0"	"Potion"
"37926"	"0"	"1"	"-1"	"3"	"37808"	"0"	"0"	"Potion"
"39971"	"0"	"1"	"0"	"4"	"47132"	"0"	"0"	"Potion"
"40677"	"0"	"1"	"-1"	"3"	"42031"	"0"	"0"	"Potion"
"42548"	"0"	"1"	"-1"	"3"	"8546"	"0"	"0"	"Potion"
"36845"	"0"	"2"	"-1"	"3"	"17882"	"0"	"0"	"Elixir"
"40413"	"0"	"2"	"-1"	"3"	"52490"	"0"	"0"	"Elixir"
"34641"	"0"	"3"	"-1"	"3"	"15736"	"0"	"0"	"Flask"
"46336"	"0"	"3"	"-1"	"3"	"56991"	"0"	"0"	"Flask"
"49768"	"0"	"4"	"-1"	"7"	"56319"	"0"	"1"	"Scroll"
"1072"	"0"	"5"	"-1"	"-1"	"18080"	"0"	"0"	"Food & Drink"
"1119"	"0"	"5"	"-1"	"-1"	"18077"	"0"	"0"	"Food & Drink"
"1165"	"0"	"5"	"-1"	"-1"	"6422"	"0"	"0"	"Food & Drink"
"4418"	"0"	"5"	"-1"	"-1"	"6342"	"0"	"0"	"Food & Drink"
"5265"	"0"	"5"	"-1"	"-1"	"18117"	"0"	"0"	"Food & Drink"
"8243"	"0"	"5"	"-1"	"0"	"16547"	"0"	"0"	"Food & Drink"
"8543"	"0"	"5"	"-1"	"-1"	"15851"	"0"	"0"	"Food & Drink"
"12211"	"0"	"5"	"-1"	"-1"	"22196"	"0"	"0"	"Food & Drink"
"12763"	"0"	"5"	"-1"	"7"	"26735"	"0"	"0"	"Food & Drink"
"17199"	"0"	"5"	"-1"	"-1"	"29173"	"0"	"0"	"Food & Drink"
"21236"	"0"	"5"	"-1"	"-1"	"6343"	"0"	"0"	"Food & Drink"
"21240"	"0"	"5"	"-1"	"-1"	"29331"	"0"	"0"	"Food & Drink"
"23172"	"0"	"5"	"-1"	"-1"	"6410"	"0"	"0"	"Food & Drink"
"23704"	"0"	"5"	"-1"	"3"	"18080"	"0"	"0"	"Food & Drink"
"29293"	"0"	"5"	"-1"	"-1"	"22200"	"0"	"0"	"Food & Drink"
"29402"	"0"	"5"	"-1"	"-1"	"40653"	"0"	"0"	"Food & Drink"
"33822"	"0"	"5"	"-1"	"-1"	"1208"	"0"	"0"	"Food & Drink"
"34770"	"0"	"5"	"-1"	"-1"	"39114"	"0"	"0"	"Food & Drink"
"35710"	"0"	"5"	"-1"	"-1"	"20803"	"0"	"0"	"Food & Drink"
"36831"	"0"	"5"	"-1"	"-1"	"21327"	"0"	"0"	"Food & Drink"
"40667"	"0"	"5"	"-1"	"4"	"45198"	"0"	"0"	"Food & Drink"
"41374"	"0"	"5"	"-1"	"3"	"18060"	"0"	"0"	"Food & Drink"
"43496"	"0"	"5"	"-1"	"4"	"53880"	"0"	"0"	"Food & Drink"
"44572"	"0"	"5"	"-1"	"-1"	"18085"	"0"	"0"	"Food & Drink"
"49863"	"0"	"5"	"-1"	"4"	"34584"	"0"	"0"	"Food & Drink"
"38952"	"0"	"6"	"-1"	"8"	"811"	"0"	"0"	"Item Enhancement"
"39300"	"0"	"6"	"0"	"4"	"20628"	"0"	"0"	"Item Enhancement"
"40800"	"0"	"6"	"0"	"4"	"31199"	"0"	"0"	"Item Enhancement"
"38641"	"0"	"7"	"-1"	"7"	"51021"	"0"	"0"	"Bandage"
"761"	"0"	"8"	"-1"	"8"	"1208"	"0"	"0"	"Other"
"836"	"0"	"8"	"-1"	"8"	"1007"	"0"	"3"	"Other"
"951"	"0"	"8"	"-1"	"0"	"1093"	"0"	"0"	"Other"
"1128"	"0"	"8"	"-1"	"-1"	"1150"	"0"	"0"	"Other"
"1267"	"0"	"8"	"-1"	"-1"	"6359"	"0"	"0"	"Other"
"1268"	"0"	"8"	"-1"	"-1"	"2357"	"0"	"0"	"Other"
"1269"	"0"	"8"	"-1"	"-1"	"6367"	"0"	"0"	"Other"
"1321"	"0"	"8"	"-1"	"-1"	"6335"	"0"	"0"	"Other"
"1400"	"0"	"8"	"-1"	"-1"	"6418"	"0"	"0"	"Other"
"1402"	"0"	"8"	"-1"	"-1"	"6334"	"0"	"0"	"Other"
"1533"	"0"	"8"	"-1"	"-1"	"6358"	"0"	"0"	"Other"
"1612"	"0"	"8"	"-1"	"-1"	"6368"	"0"	"0"	"Other"
"1649"	"0"	"8"	"-1"	"-1"	"1483"	"0"	"0"	"Other"
"1704"	"0"	"8"	"-1"	"-1"	"1504"	"0"	"0"	"Other"
"1851"	"0"	"8"	"-1"	"-1"	"6340"	"0"	"0"	"Other"
"2071"	"0"	"8"	"-1"	"-1"	"18084"	"0"	"0"	"Other"
"2688"	"0"	"8"	"-1"	"3"	"6417"	"0"	"0"	"Other"
"3441"	"0"	"8"	"-1"	"2"	"2947"	"0"	"0"	"Other"
"3507"	"0"	"8"	"-1"	"-1"	"983"	"0"	"0"	"Other"
"3768"	"0"	"8"	"-1"	"-1"	"6326"	"0"	"0"	"Other"
"3773"	"0"	"8"	"-1"	"7"	"18084"	"0"	"0"	"Other"
"4427"	"0"	"8"	"-1"	"7"	"6270"	"0"	"0"	"Other"
"5014"	"0"	"8"	"-1"	"0"	"6429"	"0"	"0"	"Other"
"5015"	"0"	"8"	"-1"	"0"	"6429"	"0"	"0"	"Other"
"5041"	"0"	"8"	"-1"	"0"	"6423"	"0"	"0"	"Other"
"5045"	"0"	"8"	"-1"	"0"	"6411"	"0"	"0"	"Other"
"5049"	"0"	"8"	"-1"	"-1"	"6405"	"0"	"0"	"Other"
"5223"	"0"	"8"	"-1"	"1"	"1262"	"0"	"0"	"Other"
"5227"	"0"	"8"	"-1"	"1"	"1262"	"0"	"0"	"Other"
"5228"	"0"	"8"	"-1"	"1"	"6007"	"0"	"0"	"Other"
"5406"	"0"	"8"	"-1"	"1"	"6007"	"0"	"0"	"Other"
"5407"	"0"	"8"	"-1"	"1"	"6007"	"0"	"0"	"Other"
"6213"	"0"	"8"	"-1"	"-1"	"4717"	"0"	"0"	"Other"
"8493"	"0"	"8"	"-1"	"-1"	"17288"	"0"	"0"	"Other"
"11443"	"0"	"8"	"-1"	"-1"	"2376"	"0"	"0"	"Other"
"12440"	"0"	"8"	"-1"	"-1"	"11947"	"0"	"0"	"Other"
"12526"	"0"	"8"	"-1"	"-1"	"9666"	"0"	"0"	"Other"
"12729"	"0"	"8"	"-1"	"-1"	"2533"	"0"	"0"	"Other"
"16086"	"0"	"8"	"-1"	"8"	"7899"	"0"	"0"	"Other"
"16102"	"0"	"8"	"-1"	"8"	"7899"	"0"	"0"	"Other"
"16103"	"0"	"8"	"-1"	"8"	"7899"	"0"	"0"	"Other"
"16104"	"0"	"8"	"-1"	"8"	"7899"	"0"	"0"	"Other"
"16105"	"0"	"8"	"-1"	"8"	"7899"	"0"	"0"	"Other"
"16106"	"0"	"8"	"-1"	"8"	"7899"	"0"	"0"	"Other"
